  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.4957, device='cuda:0') 105.25 107.0625
tensor(0.5116, device='cuda:0') 105.25 107.0625
tensor(0.5137, device='cuda:0') 105.1875 107.0
tensor(0.5062, device='cuda:0') 105.1875 107.0
tensor(0.4909, device='cuda:0') 105.1875 107.0
tensor(0.4679, device='cuda:0') 105.125 106.9375
tensor(0.4411, device='cuda:0') 105.125 106.9375
  6%|███████████████▏                                                                                                                                                                                                                                             | 6/100 [00:41<10:49,  6.91s/it]
tensor(0.4058, device='cuda:0') 105.125 106.9375
tensor(0.3623, device='cuda:0') 105.0625 106.875
tensor(0.3339, device='cuda:0') 105.0625 106.875
tensor(0.2861, device='cuda:0') 105.0625 106.8125
tensor(0.2588, device='cuda:0') 105.0 106.8125
tensor(0.2071, device='cuda:0') 105.0 106.75
tensor(0.1628, device='cuda:0') 105.0 106.75
tensor(0.1844, device='cuda:0') 104.9375 106.75
tensor(0.1822, device='cuda:0') 104.9375 106.6875
tensor(0.7106, device='cuda:0') 118.9375 120.3125
tensor(0.7087, device='cuda:0') 118.9375 120.25
tensor(0.7051, device='cuda:0') 118.9375 120.25
tensor(0.7003, device='cuda:0') 118.875 120.25
tensor(0.6936, device='cuda:0') 118.875 120.1875
tensor(0.6862, device='cuda:0') 118.875 120.1875
tensor(0.6772, device='cuda:0') 118.8125 120.1875
tensor(0.6670, device='cuda:0') 118.8125 120.125
tensor(0.6560, device='cuda:0') 118.75 120.125
tensor(0.6430, device='cuda:0') 118.75 120.125
tensor(0.6304, device='cuda:0') 118.75 120.0625
tensor(0.6179, device='cuda:0') 118.6875 120.0625
tensor(0.6069, device='cuda:0') 118.6875 120.0
tensor(0.5989, device='cuda:0') 118.625 120.0
tensor(0.5927, device='cuda:0') 118.625 120.0
tensor(0.5843, device='cuda:0') 118.5625 119.9375
tensor(0.5753, device='cuda:0') 118.5625 119.9375
tensor(0.5699, device='cuda:0') 118.5625 119.875
tensor(0.5632, device='cuda:0') 118.5 119.875

  7%|█████████████████▋                                                                                                                                                                                                                                           | 7/100 [00:48<10:43,  6.92s/it]
tensor(0.6819, device='cuda:0') 125.3125 126.1875
tensor(0.6780, device='cuda:0') 125.3125 126.1875
tensor(0.6711, device='cuda:0') 125.3125 126.1875
tensor(0.6622, device='cuda:0') 125.3125 126.125
tensor(0.6528, device='cuda:0') 125.3125 126.125
tensor(0.6409, device='cuda:0') 125.3125 126.0625
tensor(0.6536, device='cuda:0') 125.3125 126.0625
tensor(0.6392, device='cuda:0') 125.3125 126.0
tensor(0.6231, device='cuda:0') 125.3125 126.0
tensor(0.6149, device='cuda:0') 125.3125 125.9375
tensor(0.5911, device='cuda:0') 125.3125 125.875
tensor(0.5596, device='cuda:0') 125.3125 125.875

  8%|████████████████████▏                                                                                                                                                                                                                                        | 8/100 [00:55<10:37,  6.93s/it]
tensor(0.4564, device='cuda:0') 125.375 125.8125
tensor(0.3875, device='cuda:0') 125.375 125.75
tensor(0.4643, device='cuda:0') 125.375 125.75
tensor(0.4795, device='cuda:0') 125.4375 125.6875
tensor(0.4298, device='cuda:0') 125.4375 125.6875
tensor(0.4180, device='cuda:0') 125.4375 125.625
tensor(0.4044, device='cuda:0') 125.5 125.625
tensor(0.5555, device='cuda:0') 122.9375 126.625
tensor(0.5577, device='cuda:0') 122.9375 126.625
tensor(0.5606, device='cuda:0') 122.875 126.625
tensor(0.5642, device='cuda:0') 122.8125 126.5625
tensor(0.5585, device='cuda:0') 122.6875 126.5
tensor(0.5494, device='cuda:0') 122.625 126.375
tensor(0.5340, device='cuda:0') 122.5 126.3125
tensor(0.5122, device='cuda:0') 122.375 126.125
tensor(0.4827, device='cuda:0') 122.1875 126.0
tensor(0.4492, device='cuda:0') 122.0625 125.875
tensor(0.4179, device='cuda:0') 121.9375 125.6875
tensor(0.3698, device='cuda:0') 121.8125 125.5625
tensor(0.3203, device='cuda:0') 121.6875 125.375
tensor(0.2803, device='cuda:0') 121.5 125.1875
tensor(0.2607, device='cuda:0') 121.375 125.0
tensor(0.2712, device='cuda:0') 121.25 124.8125
tensor(0.2987, device='cuda:0') 121.1875 124.6875
tensor(0.2458, device='cuda:0') 121.0625 124.5
tensor(0.2074, device='cuda:0') 120.9375 124.3125

  9%|██████████████████████▊                                                                                                                                                                                                                                      | 9/100 [01:02<10:29,  6.92s/it]
tensor(0.5950, device='cuda:0') 113.125 116.4375
tensor(0.5914, device='cuda:0') 113.125 116.4375
tensor(0.5847, device='cuda:0') 113.0625 116.375
tensor(0.5785, device='cuda:0') 113.0 116.375
tensor(0.5811, device='cuda:0') 112.9375 116.3125
tensor(0.6049, device='cuda:0') 112.8125 116.25
tensor(0.6015, device='cuda:0') 112.75 116.1875
tensor(0.5954, device='cuda:0') 112.625 116.0625
tensor(0.5875, device='cuda:0') 112.5 116.0
tensor(0.5772, device='cuda:0') 112.375 115.875
tensor(0.5645, device='cuda:0') 112.25 115.8125
tensor(0.5461, device='cuda:0') 112.125 115.75
tensor(0.5332, device='cuda:0') 112.0625 115.625

 10%|█████████████████████████▏                                                                                                                                                                                                                                  | 10/100 [01:09<10:21,  6.91s/it]
tensor(0.4866, device='cuda:0') 111.8125 115.4375
tensor(0.4511, device='cuda:0') 111.6875 115.3125
tensor(0.4167, device='cuda:0') 111.5625 115.25
tensor(0.3737, device='cuda:0') 111.4375 115.125
tensor(0.2966, device='cuda:0') 111.3125 115.0
tensor(0.1689, device='cuda:0') 111.1875 114.9375
tensor(0.6664, device='cuda:0') 127.5 128.625
tensor(0.6638, device='cuda:0') 127.5 128.625
tensor(0.6591, device='cuda:0') 127.5 128.625
tensor(0.6540, device='cuda:0') 127.5 128.5
tensor(0.6471, device='cuda:0') 127.5 128.5
tensor(0.6336, device='cuda:0') 127.5 128.375
tensor(0.6167, device='cuda:0') 127.5 128.375
tensor(0.6087, device='cuda:0') 127.5 128.25
tensor(0.5909, device='cuda:0') 127.5 128.25
tensor(0.6113, device='cuda:0') 127.5 128.125
tensor(0.6169, device='cuda:0') 127.5 128.0
tensor(0.6072, device='cuda:0') 127.5 128.0
tensor(0.5863, device='cuda:0') 127.5625 127.875
tensor(0.6529, device='cuda:0') 127.5625 127.8125
tensor(0.6394, device='cuda:0') 127.625 127.75
tensor(0.6303, device='cuda:0') 127.625 127.75
tensor(0.6182, device='cuda:0') 127.6875 127.6875
tensor(0.6094, device='cuda:0') 127.6875 127.625
tensor(0.5868, device='cuda:0') 127.75 127.625

 11%|███████████████████████████▋                                                                                                                                                                                                                                | 11/100 [01:16<10:15,  6.92s/it]
tensor(0.7498, device='cuda:0') 120.875 122.4375
tensor(0.7497, device='cuda:0') 120.8125 122.375
tensor(0.7525, device='cuda:0') 120.8125 122.375
tensor(0.7531, device='cuda:0') 120.8125 122.3125
tensor(0.7509, device='cuda:0') 120.75 122.3125
tensor(0.7437, device='cuda:0') 120.75 122.25
tensor(0.7380, device='cuda:0') 120.6875 122.1875
tensor(0.7307, device='cuda:0') 120.6875 122.125
tensor(0.7237, device='cuda:0') 120.625 122.0625
tensor(0.7185, device='cuda:0') 120.625 122.0
tensor(0.7089, device='cuda:0') 120.625 121.875
tensor(0.6989, device='cuda:0') 120.5625 121.8125
tensor(0.6860, device='cuda:0') 120.5625 121.75
tensor(0.6623, device='cuda:0') 120.5625 121.6875
tensor(0.6360, device='cuda:0') 120.5 121.625

 12%|██████████████████████████████▏                                                                                                                                                                                                                             | 12/100 [01:23<10:10,  6.93s/it]
tensor(0.4828, device='cuda:0') 120.5 121.4375
tensor(0.3711, device='cuda:0') 120.5 121.375
tensor(0.2776, device='cuda:0') 120.5 121.3125
tensor(0.2019, device='cuda:0') 120.5 121.25
tensor(0.7161, device='cuda:0') 109.6875 111.5
tensor(0.7135, device='cuda:0') 109.625 111.4375
tensor(0.7093, device='cuda:0') 109.625 111.4375
tensor(0.7031, device='cuda:0') 109.625 111.375
tensor(0.6929, device='cuda:0') 109.5625 111.375
tensor(0.6880, device='cuda:0') 109.5 111.3125
tensor(0.7194, device='cuda:0') 109.5 111.1875
tensor(0.7276, device='cuda:0') 109.4375 111.125
tensor(0.7250, device='cuda:0') 109.375 111.0625
tensor(0.7196, device='cuda:0') 109.375 110.9375
tensor(0.7130, device='cuda:0') 109.3125 110.875
tensor(0.7063, device='cuda:0') 109.25 110.8125
tensor(0.6969, device='cuda:0') 109.1875 110.75
tensor(0.6889, device='cuda:0') 109.1875 110.6875
tensor(0.6747, device='cuda:0') 109.125 110.625
tensor(0.6581, device='cuda:0') 109.125 110.5
tensor(0.6429, device='cuda:0') 109.0625 110.4375
tensor(0.6179, device='cuda:0') 109.0625 110.375
tensor(0.5985, device='cuda:0') 109.0 110.3125

 13%|████████████████████████████████▊                                                                                                                                                                                                                           | 13/100 [01:30<10:04,  6.95s/it]
tensor(0.3002, device='cuda:0') 108.5625 109.625
tensor(0.3121, device='cuda:0') 108.5625 109.5625
tensor(0.3311, device='cuda:0') 108.625 109.5625
tensor(0.3221, device='cuda:0') 108.625 109.5
tensor(0.3095, device='cuda:0') 108.6875 109.375
tensor(0.2959, device='cuda:0') 108.75 109.25
tensor(0.2820, device='cuda:0') 108.8125 109.125
tensor(0.2717, device='cuda:0') 108.875 108.9375
tensor(0.2716, device='cuda:0') 108.9375 108.8125
tensor(0.2753, device='cuda:0') 109.0625 108.6875
tensor(0.2758, device='cuda:0') 109.125 108.5625
tensor(0.2669, device='cuda:0') 109.25 108.5
