
  0%|                                                                                                                                                                                                                                                                                             | 0/1 [00:00<?, ?it/s]
0, 0.09775816649198532
1, 0.09775816649198532
2, 0.09261524677276611
3, 0.0827258974313736
4, 0.06901422142982483
5, 0.05310672149062157
6, 0.037517741322517395
7, 0.02679777517914772
8, 0.020150016993284225
9, 0.016250748187303543
10, 0.013919185847043991
11, 0.012371285818517208
12, 0.01117346715182066
13, 0.010127066634595394
14, 0.009165474213659763
15, 0.008280592039227486
16, 0.0074800471775233746
17, 0.006769545376300812
18, 0.006148872431367636
19, 0.005614237394183874
20, 0.005163147114217281
21, 0.004792636260390282
22, 0.004497549496591091
23, 0.004268497694283724
24, 0.004090823233127594
25, 0.003947257995605469
26, 0.003819558769464493
27, 0.0036922411527484655
28, 0.003555364441126585
29, 0.003404611721634865
30, 0.0032402477227151394
31, 0.0030663255602121353
32, 0.0028890229295939207
33, 0.0027152877300977707
34, 0.002550089731812477
35, 0.002397036412730813
36, 0.002258249092847109
37, 0.0021342250984162092
38, 0.0020243008621037006
39, 0.001926975091919303
40, 0.0018405320588499308
41, 0.0017633447423577309
42, 0.0016935415333136916
43, 0.0016297150868922472
44, 0.0015705744735896587
45, 0.0015151125844568014
46, 0.0014625893672928214
47, 0.0014126356691122055
48, 0.0013650830369442701
49, 0.0013198673259466887
50, 0.001277092844247818
51, 0.0012366622686386108
52, 0.001198743237182498
53, 0.0011634118854999542
54, 0.0011305930092930794
55, 0.0011001632083207369
56, 0.0010719134006649256
57, 0.001045622630044818
58, 0.0010210894979536533
59, 0.0009981882758438587
60, 0.0009767175652086735
61, 0.0009566840599291027
62, 0.0009378055110573769
63, 0.0009201859938912094
64, 0.0009036998962983489
65, 0.0008883317350409925
66, 0.0008739746990613639
67, 0.0008606365881860256
68, 0.0008482020348310471
69, 0.000836655730381608
70, 0.0008259430760517716
71, 0.000816072802990675
72, 0.0008069126633927226
73, 0.0007984586991369724
74, 0.0007907060789875686
75, 0.0007835848955437541
76, 0.0007770622614771128
77, 0.0007710888748988509
78, 0.0007656195666640997
79, 0.0007606702856719494
80, 0.0007562002865597606
81, 0.0007521630031988025
82, 0.0007485115784220397
83, 0.0007452452555298805
84, 0.0007423522765748203
85, 0.0007398071466013789
86, 0.0007375481072813272
87, 0.0007356106070801616
88, 0.0007339343428611755
89, 0.0007324970210902393
90, 0.0007312737288884819
91, 0.0007302854210138321
92, 0.0007294801762327552
93, 0.000728841288946569
94, 0.0007283496670424938
95, 0.0007279880228452384
96, 0.0007277429103851318
97, 0.0007275789976119995
98, 0.0007274848176166415
99, 0.0007274441886693239
0 2.5382723808288574 0.05 8.790191650390625
1 2.384145736694336 0.05 7.755101203918457
2 2.1843247413635254 0.05 6.509629249572754
3 1.8552958965301514 0.05 4.6962175369262695
4 1.4324314594268799 0.05 2.799429416656494
5 1.0298975706100464 0.05 1.4471380710601807
6 0.7638189196586609 0.05 0.7959809899330139
7 0.5792383551597595 0.05 0.4577586054801941
8 0.47550642490386963 0.05 0.30848538875579834
9 0.4076099693775177 0.05 0.22667905688285828
inversion time : 33.0212287902832

