2024-04-24 20:35:17,571 INFO    StreamThr :3081812 [internal.py:wandb_internal():86] W&B internal server running at pid: 3081812, started at: 2024-04-24 20:35:17.571140
2024-04-24 20:35:17,573 DEBUG   HandlerThread:3081812 [handler.py:handle_request():144] handle_request: status
2024-04-24 20:35:17,575 INFO    WriterThread:3081812 [datastore.py:open_for_write():85] open: /home/icl2/khlee/InstaFlow/wandb/run-20240424_203517-h6e3cifh/run-h6e3cifh.wandb
2024-04-24 20:35:17,576 DEBUG   SenderThread:3081812 [sender.py:send():369] send: header
2024-04-24 20:35:17,601 DEBUG   SenderThread:3081812 [sender.py:send():369] send: run
2024-04-24 20:35:18,186 DEBUG   HandlerThread:3081812 [handler.py:handle_request():144] handle_request: check_version
2024-04-24 20:35:18,217 INFO    SenderThread:3081812 [dir_watcher.py:__init__():211] watching files in: /home/icl2/khlee/InstaFlow/wandb/run-20240424_203517-h6e3cifh/files
2024-04-24 20:35:18,218 INFO    SenderThread:3081812 [sender.py:_start_run_threads():1100] run started: h6e3cifh with start time 1713958517.570183
2024-04-24 20:35:18,218 DEBUG   SenderThread:3081812 [sender.py:send_request():396] send_request: summary_record
2024-04-24 20:35:18,219 INFO    SenderThread:3081812 [sender.py:_save_file():1354] saving file wandb-summary.json with policy end
2024-04-24 20:35:18,221 DEBUG   SenderThread:3081812 [sender.py:send_request():396] send_request: check_version
2024-04-24 20:35:18,314 DEBUG   HandlerThread:3081812 [handler.py:handle_request():144] handle_request: run_start
2024-04-24 20:35:18,352 DEBUG   HandlerThread:3081812 [system_info.py:__init__():31] System info init
2024-04-24 20:35:18,352 DEBUG   HandlerThread:3081812 [system_info.py:__init__():46] System info init done
2024-04-24 20:35:18,352 INFO    HandlerThread:3081812 [system_monitor.py:start():181] Starting system monitor
2024-04-24 20:35:18,353 INFO    HandlerThread:3081812 [system_monitor.py:probe():201] Collecting system info
2024-04-24 20:35:18,353 INFO    SystemMonitor:3081812 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-04-24 20:35:18,355 INFO    SystemMonitor:3081812 [interfaces.py:start():190] Started cpu monitoring
2024-04-24 20:35:18,356 INFO    SystemMonitor:3081812 [interfaces.py:start():190] Started disk monitoring
2024-04-24 20:35:18,361 INFO    SystemMonitor:3081812 [interfaces.py:start():190] Started gpu monitoring
2024-04-24 20:35:18,362 INFO    SystemMonitor:3081812 [interfaces.py:start():190] Started memory monitoring
2024-04-24 20:35:18,364 INFO    SystemMonitor:3081812 [interfaces.py:start():190] Started network monitoring
2024-04-24 20:35:18,401 DEBUG   HandlerThread:3081812 [system_info.py:probe():195] Probing system
2024-04-24 20:35:18,406 DEBUG   HandlerThread:3081812 [system_info.py:_probe_git():180] Probing git
2024-04-24 20:35:18,414 DEBUG   HandlerThread:3081812 [system_info.py:_probe_git():188] Probing git done
2024-04-24 20:35:18,414 DEBUG   HandlerThread:3081812 [system_info.py:probe():240] Probing system done
