  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.7560, device='cuda:0') 129.0 131.375
tensor(0.7753, device='cuda:0') 129.0 131.375
tensor(0.8667, device='cuda:0') 128.875 131.25
tensor(0.8570, device='cuda:0') 128.875 131.125
tensor(0.8466, device='cuda:0') 128.75 131.125
tensor(0.8255, device='cuda:0') 128.75 131.0
tensor(0.7710, device='cuda:0') 128.625 130.875
tensor(0.6757, device='cuda:0') 128.625 130.875
tensor(0.6270, device='cuda:0') 128.5 130.75
tensor(0.5931, device='cuda:0') 128.5 130.75
tensor(0.5613, device='cuda:0') 128.375 130.625
tensor(0.5355, device='cuda:0') 128.375 130.625
tensor(0.6426, device='cuda:0') 128.25 130.5
tensor(0.6311, device='cuda:0') 128.25 130.5
tensor(0.6164, device='cuda:0') 128.125 130.375
tensor(0.5945, device='cuda:0') 128.125 130.375
tensor(0.6001, device='cuda:0') 128.0 130.25
tensor(0.5887, device='cuda:0') 128.0 130.25
tensor(0.5253, device='cuda:0') 127.9375 130.25
tensor(0.4868, device='cuda:0') 127.875 130.125
tensor(0.4612, device='cuda:0') 127.8125 130.125
tensor(0.4350, device='cuda:0') 127.75 130.125
tensor(0.3830, device='cuda:0') 127.75 130.0
tensor(0.3441, device='cuda:0') 127.6875 130.0
tensor(0.3345, device='cuda:0') 127.625 130.0
tensor(0.4901, device='cuda:0') 127.5625 130.0
tensor(0.4519, device='cuda:0') 127.5625 129.875
tensor(0.4183, device='cuda:0') 127.5 129.875
tensor(0.3877, device='cuda:0') 127.4375 129.875
tensor(0.3613, device='cuda:0') 127.4375 129.875

  3%|███████▌                                                                                                                                                                                                                                                     | 3/100 [00:47<25:34, 15.81s/it]
tensor(0.3016, device='cuda:0') 127.375 129.875
tensor(0.2578, device='cuda:0') 127.3125 129.75
tensor(0.2151, device='cuda:0') 127.3125 129.75
tensor(0.2371, device='cuda:0') 127.25 129.75
tensor(0.2405, device='cuda:0') 127.25 129.75
tensor(0.2444, device='cuda:0') 127.1875 129.75
tensor(0.2428, device='cuda:0') 127.1875 129.75
tensor(0.2296, device='cuda:0') 127.125 129.75
tensor(0.1660, device='cuda:0') 127.125 129.75
tensor(0.8687, device='cuda:0') 126.625 127.375
tensor(0.8720, device='cuda:0') 126.625 127.375
tensor(0.8802, device='cuda:0') 126.625 127.375
tensor(0.8988, device='cuda:0') 126.625 127.375
tensor(0.9140, device='cuda:0') 126.625 127.375
tensor(0.9309, device='cuda:0') 126.625 127.3125
tensor(0.9476, device='cuda:0') 126.625 127.3125
tensor(0.9616, device='cuda:0') 126.625 127.3125
tensor(0.9777, device='cuda:0') 126.625 127.25
tensor(0.9904, device='cuda:0') 126.625 127.3125
tensor(1.0058, device='cuda:0') 126.625 127.25
tensor(1.0192, device='cuda:0') 126.6875 127.25
tensor(1.0302, device='cuda:0') 126.6875 127.25
tensor(1.0358, device='cuda:0') 126.6875 127.25
tensor(1.0395, device='cuda:0') 126.6875 127.25
tensor(1.0353, device='cuda:0') 126.6875 127.25
tensor(1.0183, device='cuda:0') 126.75 127.25
tensor(0.9944, device='cuda:0') 126.75 127.25
tensor(0.9696, device='cuda:0') 126.75 127.25
tensor(0.9461, device='cuda:0') 126.75 127.1875
tensor(0.9178, device='cuda:0') 126.75 127.1875
tensor(0.8924, device='cuda:0') 126.75 127.1875
tensor(0.8669, device='cuda:0') 126.75 127.1875
tensor(0.8467, device='cuda:0') 126.75 127.1875
tensor(0.8261, device='cuda:0') 126.75 127.1875
tensor(0.8070, device='cuda:0') 126.75 127.1875
tensor(0.7835, device='cuda:0') 126.75 127.1875
tensor(0.7622, device='cuda:0') 126.75 127.125
tensor(0.7472, device='cuda:0') 126.6875 127.125
tensor(0.7383, device='cuda:0') 126.6875 127.125
tensor(0.7276, device='cuda:0') 126.6875 127.125
tensor(0.7145, device='cuda:0') 126.625 127.0625
tensor(0.7003, device='cuda:0') 126.625 127.0625
tensor(0.6888, device='cuda:0') 126.5625 127.0625
tensor(0.6767, device='cuda:0') 126.5625 127.0625
tensor(0.6688, device='cuda:0') 126.5 127.0625
tensor(0.6636, device='cuda:0') 126.5 127.0
tensor(0.6569, device='cuda:0') 126.4375 127.0625
tensor(0.6535, device='cuda:0') 126.4375 127.0
tensor(0.6470, device='cuda:0') 126.375 127.0
tensor(0.6575, device='cuda:0') 126.3125 127.0
tensor(0.6580, device='cuda:0') 126.3125 126.9375

  4%|██████████                                                                                                                                                                                                                                                   | 4/100 [01:03<25:19, 15.83s/it]
tensor(0.6329, device='cuda:0') 126.25 126.9375
tensor(0.6294, device='cuda:0') 126.1875 126.9375
tensor(0.6225, device='cuda:0') 126.1875 126.9375
tensor(0.6119, device='cuda:0') 126.125 126.875
tensor(0.6088, device='cuda:0') 126.0625 126.875
tensor(0.5573, device='cuda:0') 126.0625 126.875
tensor(0.3827, device='cuda:0') 126.0 126.875
tensor(0.4470, device='cuda:0') 130.375 130.375
tensor(0.4423, device='cuda:0') 130.5 130.375
tensor(0.3980, device='cuda:0') 130.5 130.25
tensor(0.3586, device='cuda:0') 130.5 130.25
tensor(0.3055, device='cuda:0') 130.625 130.25
tensor(0.2915, device='cuda:0') 130.625 130.125
tensor(0.2949, device='cuda:0') 130.75 130.125
tensor(0.3170, device='cuda:0') 130.875 130.0
tensor(0.3075, device='cuda:0') 131.0 130.0
tensor(0.3996, device='cuda:0') 131.125 129.875
tensor(0.4577, device='cuda:0') 131.25 129.875
tensor(0.4004, device='cuda:0') 131.375 129.875
tensor(0.3091, device='cuda:0') 131.5 129.875
tensor(0.2574, device='cuda:0') 131.625 129.75
tensor(0.2385, device='cuda:0') 131.875 129.75
tensor(0.2334, device='cuda:0') 132.0 129.75
tensor(0.2173, device='cuda:0') 132.25 129.75
tensor(0.2074, device='cuda:0') 132.5 129.75
tensor(0.2554, device='cuda:0') 132.625 129.75
tensor(0.2533, device='cuda:0') 132.875 129.75
tensor(0.2405, device='cuda:0') 133.125 129.875
tensor(0.2483, device='cuda:0') 133.375 129.875
tensor(0.2133, device='cuda:0') 133.5 129.875
tensor(0.2072, device='cuda:0') 133.75 129.875
tensor(0.2347, device='cuda:0') 134.0 129.875
tensor(0.2569, device='cuda:0') 134.25 129.875
tensor(0.2741, device='cuda:0') 134.375 130.0
tensor(0.2848, device='cuda:0') 134.625 130.0
tensor(0.2875, device='cuda:0') 134.875 130.0
tensor(0.3342, device='cuda:0') 135.0 130.0
tensor(0.3538, device='cuda:0') 135.25 130.0
tensor(0.2231, device='cuda:0') 135.375 130.0
tensor(0.2304, device='cuda:0') 135.625 130.0
tensor(0.2343, device='cuda:0') 135.75 130.0
tensor(0.2406, device='cuda:0') 136.0 130.0
tensor(0.2074, device='cuda:0') 136.125 130.0
