
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 12, 0.0011526048183441162
tuning, 13, 0.0011391888838261366
tuning, 14, 0.001122310059145093
tuning, 15, 0.0010960892541334033
tuning, 16, 0.0010871572885662317

  8%|█████████████████████▌                                                                                                                                                                                                                                                        | 8/100 [04:24<50:41, 33.06s/it]
tuning, 18, 0.0010935632744804025
tuning, 19, 0.001045525074005127
tuning, 0, 0.005490300245583057
tuning, 1, 0.0051229847595095634
tuning, 2, 0.0045111943036317825
tuning, 3, 0.004424550570547581
tuning, 4, 0.004302689805626869
tuning, 5, 0.004107112996280193
tuning, 6, 0.004000754561275244
tuning, 7, 0.0039022311102598906
tuning, 8, 0.003753641154617071
tuning, 9, 0.0036232401616871357
tuning, 10, 0.0035525173880159855
tuning, 11, 0.0034868966322392225
tuning, 12, 0.0033894970547407866
tuning, 13, 0.0032919766381382942
tuning, 14, 0.003230659058317542
tuning, 15, 0.0031860298477113247
tuning, 16, 0.0031213760375976562
tuning, 17, 0.003036153968423605
tuning, 18, 0.002961637917906046

  9%|████████████████████████▎                                                                                                                                                                                                                                                     | 9/100 [04:57<50:08, 33.06s/it]
tuning, 0, 0.0038520805537700653
tuning, 1, 0.004019525833427906
tuning, 2, 0.0033898751717060804
tuning, 3, 0.0030740508809685707
tuning, 4, 0.0030424881260842085
tuning, 5, 0.0029624211601912975
tuning, 6, 0.0028199199587106705
tuning, 7, 0.002769809914752841
tuning, 8, 0.002714542206376791
tuning, 9, 0.0026171295903623104
tuning, 10, 0.0025410098023712635
tuning, 11, 0.002457828028127551
tuning, 12, 0.0023722387850284576
tuning, 13, 0.0023441193625330925
tuning, 14, 0.0023296065628528595
tuning, 15, 0.002254682360216975
tuning, 16, 0.0021836236119270325
tuning, 17, 0.0021787844598293304
tuning, 18, 0.002158863004297018

 10%|██████████████████████████▉                                                                                                                                                                                                                                                  | 10/100 [05:30<49:40, 33.11s/it]
tuning, 0, 0.0035477327182888985
tuning, 1, 0.0030970785301178694
tuning, 2, 0.002785466145724058
tuning, 3, 0.002627997426316142
tuning, 4, 0.002515180502086878
tuning, 5, 0.0024134893901646137
tuning, 6, 0.0023323423229157925
tuning, 7, 0.0022637632209807634
tuning, 8, 0.002198224887251854
tuning, 9, 0.002135117072612047
tuning, 10, 0.0020757047459483147
tuning, 11, 0.0020209290087223053
tuning, 12, 0.0019730511121451855
tuning, 13, 0.0019323712913319468
tuning, 14, 0.0018961731111630797
tuning, 15, 0.0018613715656101704
tuning, 16, 0.0018269466236233711
tuning, 17, 0.0017937923548743129

 11%|█████████████████████████████▌                                                                                                                                                                                                                                               | 11/100 [06:03<49:06, 33.10s/it]
tuning, 19, 0.0017308638198301196
tuning, 0, 0.003609830979257822
tuning, 1, 0.0032418628688901663
tuning, 2, 0.0031795427203178406
tuning, 3, 0.0033211158588528633
tuning, 4, 0.003505728207528591
tuning, 5, 0.0035876277834177017
tuning, 6, 0.0035340578760951757
tuning, 7, 0.0033742920495569706
tuning, 8, 0.0031421417370438576
tuning, 9, 0.0028739538975059986
tuning, 10, 0.002611238043755293
tuning, 11, 0.002393644070252776
tuning, 12, 0.00223456509411335
tuning, 13, 0.0021253935992717743
tuning, 14, 0.002043244894593954
tuning, 15, 0.0019769473001360893
tuning, 16, 0.0019180787494406104
tuning, 17, 0.0018674855818971992
tuning, 18, 0.0018250576686114073

 12%|████████████████████████████████▎                                                                                                                                                                                                                                            | 12/100 [06:36<48:31, 33.09s/it]
tuning, 0, 0.002832210622727871
tuning, 1, 0.00235303514637053
tuning, 2, 0.002103388775140047
tuning, 3, 0.0018365159630775452
tuning, 4, 0.002036778721958399
tuning, 5, 0.002079454716295004
tuning, 6, 0.0019897022284567356
tuning, 7, 0.001859110314399004
tuning, 8, 0.001781635801307857
tuning, 9, 0.0017848018324002624
tuning, 10, 0.0018041008152067661
tuning, 11, 0.0019255680963397026
tuning, 12, 0.001996563747525215
tuning, 13, 0.0019330153008922935
tuning, 14, 0.0017013268079608679
tuning, 15, 0.0013959388015791774
tuning, 16, 0.0013313579838722944
tuning, 17, 0.0014818621566519141

 13%|██████████████████████████████████▉                                                                                                                                                                                                                                          | 13/100 [07:09<47:59, 33.10s/it]
tuning, 19, 0.0018796268850564957
tuning, 0, 0.0013978526694700122
tuning, 1, 0.0016168691217899323
tuning, 2, 0.0011419806396588683
tuning, 3, 0.0012782836565747857
tuning, 4, 0.0012369053438305855
tuning, 5, 0.0010820494499057531
tuning, 6, 0.0010095976758748293
tuning, 7, 0.0010250731138512492
tuning, 8, 0.0009704682743176818
tuning, 9, 0.0008773914887569845
tuning, 10, 0.0008576332475058734
tuning, 11, 0.0008966339519247413
tuning, 12, 0.0008966158493421972
tuning, 13, 0.0008445215644314885
tuning, 14, 0.0008052032208070159
tuning, 15, 0.0008023243281058967
tuning, 16, 0.000801853951998055
tuning, 17, 0.0007822766783647239
tuning, 18, 0.000758096924982965

 14%|█████████████████████████████████████▋                                                                                                                                                                                                                                       | 14/100 [07:42<47:25, 33.09s/it]
tuning, 0, 0.006421220954507589
tuning, 1, 0.005846445914357901
tuning, 2, 0.005563212558627129
tuning, 3, 0.00541566452011466
tuning, 4, 0.005301404744386673
tuning, 5, 0.005169062875211239
tuning, 6, 0.005018795374780893
tuning, 7, 0.004873043857514858
tuning, 8, 0.004748825915157795
tuning, 9, 0.004652767907828093
tuning, 10, 0.004577777348458767
tuning, 11, 0.004505931865423918
tuning, 12, 0.004428559448570013
tuning, 13, 0.0043437061831355095
tuning, 14, 0.004255666397511959
tuning, 15, 0.004175221081823111
tuning, 16, 0.004108060616999865
tuning, 17, 0.004049290902912617

 15%|████████████████████████████████████████▎                                                                                                                                                                                                                                    | 15/100 [08:16<46:50, 33.07s/it]
tuning, 19, 0.003937445115298033
tuning, 0, 0.0011994699016213417
tuning, 1, 0.002304856898263097
tuning, 2, 0.0010853454004973173
tuning, 3, 0.0014267846709117293
tuning, 4, 0.0009785937145352364
tuning, 5, 0.0011000041849911213
tuning, 6, 0.0009915786795318127
tuning, 7, 0.0010203624842688441
tuning, 8, 0.0013317381963133812
tuning, 9, 0.0012085528578609228
tuning, 10, 0.000853943289257586
tuning, 11, 0.001019074465148151
tuning, 12, 0.0012141711777076125
tuning, 13, 0.0010261442512273788
tuning, 14, 0.0007349603110924363
tuning, 15, 0.000817390566226095
tuning, 16, 0.0008957488462328911
tuning, 17, 0.0007470224518328905
tuning, 18, 0.000655569601804018

 16%|███████████████████████████████████████████                                                                                                                                                                                                                                  | 16/100 [08:49<46:19, 33.08s/it]
tuning, 0, 0.0019448241218924522
tuning, 1, 0.002263724571093917
tuning, 2, 0.0017660621087998152
tuning, 3, 0.0013976730406284332
tuning, 4, 0.0015407158061861992
tuning, 5, 0.0014610526850447059
tuning, 6, 0.0012261969968676567
tuning, 7, 0.0011907338630408049
tuning, 8, 0.0012127358932048082
tuning, 9, 0.0012074052356183529
tuning, 10, 0.0011697255540639162
tuning, 11, 0.0011183912865817547
tuning, 12, 0.0010433676652610302
tuning, 13, 0.0010025599040091038
tuning, 14, 0.0009752513724379241
tuning, 15, 0.00094114791136235
tuning, 16, 0.0009462593006901443
tuning, 17, 0.0009379133116453886

 17%|█████████████████████████████████████████████▋                                                                                                                                                                                                                               | 17/100 [09:22<45:46, 33.09s/it]
tuning, 19, 0.0008835983462631702
tuning, 0, 0.002185933757573366
tuning, 1, 0.006958211772143841
tuning, 2, 0.002550268778577447
tuning, 3, 0.0019268551841378212
tuning, 4, 0.0022891703993082047
tuning, 5, 0.0021178179886192083
tuning, 6, 0.0019948638509958982
tuning, 7, 0.0019275726517662406
tuning, 8, 0.0017868175636976957
tuning, 9, 0.0016281914431601763
tuning, 10, 0.0014874227344989777
tuning, 11, 0.0013195512583479285
tuning, 12, 0.001220479141920805
tuning, 13, 0.0014819931238889694
tuning, 14, 0.001658083638176322
tuning, 15, 0.0015828597825020552
tuning, 16, 0.0013824397465214133
tuning, 17, 0.0012510063825175166
tuning, 18, 0.0011370282154530287

 18%|████████████████████████████████████████████████▍                                                                                                                                                                                                                            | 18/100 [09:55<45:13, 33.09s/it]
tuning, 0, 0.0026694086845964193
tuning, 1, 0.0021790829487144947
tuning, 2, 0.0018706688424572349
tuning, 3, 0.0016746465116739273
tuning, 4, 0.001518887816928327
tuning, 5, 0.0014108804753050208
tuning, 6, 0.0013333418173715472
tuning, 7, 0.0012664295500144362
tuning, 8, 0.0012103001354262233
tuning, 9, 0.0011588745983317494
tuning, 10, 0.0011090346379205585
tuning, 11, 0.0010657699313014746
tuning, 12, 0.0010325931943953037
tuning, 13, 0.0010052761062979698
tuning, 14, 0.0009784696158021688
tuning, 15, 0.0009476534905843437
tuning, 16, 0.0009132247650995851
tuning, 17, 0.0008776341564953327

 19%|███████████████████████████████████████████████████                                                                                                                                                                                                                          | 19/100 [10:28<44:40, 33.10s/it]
