
  0%|                                                                                                                                                                                                                                                                                                                   | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
53-1, NMSE : 0.007602691650390625, lr : 0.011045284632676535
	53-2, NMSE : 0.007617950439453125, lr : 0.001
54-1, NMSE : 0.007556915283203125, lr : 0.010697564737441254
	54-2, NMSE : 0.007568359375, lr : 0.001
55-1, NMSE : 0.00750732421875, lr : 0.010348994967025012
	55-2, NMSE : 0.0075225830078125, lr : 0.001
56-1, NMSE : 0.0074615478515625, lr : 0.01
	56-2, NMSE : 0.007472991943359375, lr : 0.001
57-1, NMSE : 0.007411956787109375, lr : 0.009651005032974993
	57-2, NMSE : 0.007427215576171875, lr : 0.001
58-1, NMSE : 0.00737762451171875, lr : 0.009302435262558747
	58-2, NMSE : 0.007389068603515625, lr : 0.001
59-1, NMSE : 0.00733184814453125, lr : 0.008954715367323467
	59-2, NMSE : 0.00734710693359375, lr : 0.001
60-1, NMSE : 0.0073089599609375, lr : 0.008608268990399346
	60-2, NMSE : 0.007320404052734375, lr : 0.001
61-1, NMSE : 0.007274627685546875, lr : 0.008263518223330697
	61-2, NMSE : 0.007282257080078125, lr : 0.001
62-1, NMSE : 0.007251739501953125, lr : 0.00792088309182241
	62-2, NMSE : 0.007259368896484375, lr : 0.001
63-1, NMSE : 0.0072174072265625, lr : 0.007580781044003322
	63-2, NMSE : 0.00724029541015625, lr : 0.001
64-1, NMSE : 0.00719451904296875, lr : 0.007243626441830009
	64-2, NMSE : 0.0072174072265625, lr : 0.001
65-1, NMSE : 0.00717926025390625, lr : 0.006909830056250526
	65-2, NMSE : 0.00719451904296875, lr : 0.001
66-1, NMSE : 0.007160186767578125, lr : 0.006579798566743313
	66-2, NMSE : 0.007167816162109375, lr : 0.001
67-1, NMSE : 0.007144927978515625, lr : 0.00625393406584088
	67-2, NMSE : 0.007160186767578125, lr : 0.001
68-1, NMSE : 0.007122039794921875, lr : 0.0059326335692419995
	68-2, NMSE : 0.007144927978515625, lr : 0.001
69-1, NMSE : 0.007110595703125, lr : 0.005616288532109225
	69-2, NMSE : 0.007137298583984375, lr : 0.001
70-1, NMSE : 0.007099151611328125, lr : 0.005305284372141095
	70-2, NMSE : 0.007122039794921875, lr : 0.001
71-1, NMSE : 0.007099151611328125, lr : 0.005000000000000003
	71-2, NMSE : 0.007110595703125, lr : 0.001
72-1, NMSE : 0.00708770751953125, lr : 0.004700807357667952
	72-2, NMSE : 0.007110595703125, lr : 0.001
73-1, NMSE : 0.00708770751953125, lr : 0.0044080709652925334
	73-2, NMSE : 0.007099151611328125, lr : 0.001
74-1, NMSE : 0.00708770751953125, lr : 0.0041221474770752695
	74-2, NMSE : 0.007099151611328125, lr : 0.001
75-1, NMSE : 0.00708770751953125, lr : 0.0038433852467434173
	75-2, NMSE : 0.007099151611328125, lr : 0.001
76-1, NMSE : 0.00708770751953125, lr : 0.0035721239031346066
	76-2, NMSE : 0.007099151611328125, lr : 0.001
77-1, NMSE : 0.00708770751953125, lr : 0.0033086939364114177
	77-2, NMSE : 0.007110595703125, lr : 0.001
78-1, NMSE : 0.007099151611328125, lr : 0.0030534162954100295
	78-2, NMSE : 0.007110595703125, lr : 0.001
79-1, NMSE : 0.007110595703125, lr : 0.002806601996613488
	79-2, NMSE : 0.007122039794921875, lr : 0.001
80-1, NMSE : 0.007110595703125, lr : 0.0025685517452260598
	80-2, NMSE : 0.007137298583984375, lr : 0.001
81-1, NMSE : 0.007122039794921875, lr : 0.002339555568810221
	81-2, NMSE : 0.007144927978515625, lr : 0.001
82-1, NMSE : 0.007137298583984375, lr : 0.002119892463932781
	82-2, NMSE : 0.007160186767578125, lr : 0.001
83-1, NMSE : 0.007144927978515625, lr : 0.0019098300562505265
	83-2, NMSE : 0.007167816162109375, lr : 0.001
84-1, NMSE : 0.007160186767578125, lr : 0.0017096242744495838
	84-2, NMSE : 0.00717926025390625, lr : 0.001
85-1, NMSE : 0.00717926025390625, lr : 0.0015195190384357405
	85-2, NMSE : 0.00719451904296875, lr : 0.001
