
  0%|                                                                                                                                                                                                                                                                                      | 0/100 [00:00<?, ?it/s]
tuning, 12, 0.0011842753738164902
tuning, 13, 0.0011551107745617628
tuning, 14, 0.0011617823038250208
tuning, 15, 0.0011595808900892735
tuning, 16, 0.001125446753576398
tuning, 17, 0.0010975678451359272
tuning, 18, 0.0010994942858815193

  8%|█████████████████████▌                                                                                                                                                                                                                                                        | 8/100 [04:24<50:46, 33.11s/it]
tuning, 0, 0.011897606775164604
tuning, 1, 0.007592350244522095
tuning, 2, 0.0060539282858371735
tuning, 3, 0.00584044586867094
tuning, 4, 0.005876991432160139
tuning, 5, 0.005851199850440025
tuning, 6, 0.005667347460985184
tuning, 7, 0.00534382788464427
tuning, 8, 0.004967340733855963
tuning, 9, 0.004615442361682653
tuning, 10, 0.004351446405053139
tuning, 11, 0.004225881304591894
tuning, 12, 0.004235784523189068
tuning, 13, 0.00431582797318697
tuning, 14, 0.00434811320155859
tuning, 15, 0.004245540127158165
tuning, 16, 0.004033148754388094
tuning, 17, 0.0038046063855290413
tuning, 18, 0.003654102561995387

  9%|████████████████████████▎                                                                                                                                                                                                                                                     | 9/100 [04:57<50:11, 33.09s/it]
tuning, 0, 0.00385208404622972
tuning, 1, 0.004019130486994982
tuning, 2, 0.003391494043171406
tuning, 3, 0.0030762103851884604
tuning, 4, 0.003038895782083273
tuning, 5, 0.0029651166405528784
tuning, 6, 0.002821918111294508
tuning, 7, 0.002769236220046878
tuning, 8, 0.002715009031817317
tuning, 9, 0.002616139128804207
tuning, 10, 0.0025388055946677923
tuning, 11, 0.0024584890343248844
tuning, 12, 0.0023721368052065372
tuning, 13, 0.002340721432119608
tuning, 14, 0.00232687103562057
tuning, 15, 0.002256019040942192
tuning, 16, 0.00218372349627316
tuning, 17, 0.0021764503326267004
tuning, 18, 0.002158486982807517

 10%|██████████████████████████▉                                                                                                                                                                                                                                                  | 10/100 [05:30<49:38, 33.09s/it]
tuning, 0, 0.0035480353981256485
tuning, 1, 0.0030972834210842848
tuning, 2, 0.0027853965293616056
tuning, 3, 0.002627813955768943
tuning, 4, 0.0025151600129902363
tuning, 5, 0.0024134935811161995
tuning, 6, 0.002332692965865135
tuning, 7, 0.002263931557536125
tuning, 8, 0.0021981317549943924
tuning, 9, 0.002135232090950012
tuning, 10, 0.002075685653835535
tuning, 11, 0.00202105101197958
tuning, 12, 0.0019730888307094574
tuning, 13, 0.0019324352033436298
tuning, 14, 0.0018962966278195381
tuning, 15, 0.0018613932188600302
tuning, 16, 0.0018270764267072082
tuning, 17, 0.0017938073724508286
tuning, 18, 0.0017620421713218093

 11%|█████████████████████████████▌                                                                                                                                                                                                                                               | 11/100 [06:03<49:05, 33.09s/it]
tuning, 0, 0.004518205299973488
tuning, 1, 0.0033060084097087383
tuning, 2, 0.0031932038255035877
tuning, 3, 0.0035089764278382063
tuning, 4, 0.003774679731577635
tuning, 5, 0.0038348070811480284
tuning, 6, 0.0037197954952716827
tuning, 7, 0.003530838992446661
tuning, 8, 0.003331071464344859
tuning, 9, 0.003091598628088832
tuning, 10, 0.0028131434228271246
tuning, 11, 0.0025429772213101387
tuning, 12, 0.0023387763649225235
tuning, 13, 0.0022045886144042015
tuning, 14, 0.002116585150361061
tuning, 15, 0.002052022609859705
tuning, 16, 0.001997541170567274
tuning, 17, 0.0019466166850179434
tuning, 18, 0.001897379057481885

 12%|████████████████████████████████▎                                                                                                                                                                                                                                            | 12/100 [06:36<48:30, 33.08s/it]
tuning, 0, 0.0028440558817237616
tuning, 1, 0.0024004995357245207
tuning, 2, 0.0021164785139262676
tuning, 3, 0.0018362825503572822
tuning, 4, 0.002029846888035536
tuning, 5, 0.0020640832372009754
tuning, 6, 0.001968551892787218
tuning, 7, 0.0018498249119147658
tuning, 8, 0.0017440966330468655
tuning, 9, 0.0017574112862348557
tuning, 10, 0.001854181638918817
tuning, 11, 0.001961672445759177
tuning, 12, 0.0019673004280775785
tuning, 13, 0.00184736680239439
tuning, 14, 0.001579288742505014
tuning, 15, 0.0013324213214218616
tuning, 16, 0.0012918122811242938
tuning, 17, 0.0014245817437767982
tuning, 18, 0.0016169542213901877

 13%|██████████████████████████████████▉                                                                                                                                                                                                                                          | 13/100 [07:09<48:00, 33.11s/it]
tuning, 0, 0.0013989219442009926
tuning, 1, 0.0016209420282393694
tuning, 2, 0.0011276695877313614
tuning, 3, 0.0012904516188427806
tuning, 4, 0.00122886523604393
tuning, 5, 0.0010738095734268427
tuning, 6, 0.001014019246213138
tuning, 7, 0.0010261451825499535
tuning, 8, 0.0009658999624662101
tuning, 9, 0.0008752319845370948
tuning, 10, 0.0008567070472054183
tuning, 11, 0.0008951827185228467
tuning, 12, 0.000896208337508142
tuning, 13, 0.0008423387771472335
tuning, 14, 0.0008027240401133895
tuning, 15, 0.0008019224624149501
tuning, 16, 0.0008026701398193836
tuning, 17, 0.0007817856967449188
tuning, 18, 0.0007577799260616302

 14%|█████████████████████████████████████▋                                                                                                                                                                                                                                       | 14/100 [07:42<47:28, 33.12s/it]
tuning, 0, 0.0064220307394862175
tuning, 1, 0.005847463384270668
tuning, 2, 0.005563490092754364
