  0%|                                                                                                                                                                                                                                                                     | 0/100 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(-0.4151, device='cuda:0') 116.0625 117.4375
tensor(-0.4093, device='cuda:0') 116.0 117.4375
tensor(-0.4095, device='cuda:0') 116.0 117.4375
tensor(-0.4122, device='cuda:0') 116.0 117.4375
tensor(-0.4068, device='cuda:0') 115.9375 117.4375
tensor(-0.4076, device='cuda:0') 115.9375 117.4375
tensor(-0.4052, device='cuda:0') 115.9375 117.4375
tensor(-0.4039, device='cuda:0') 115.875 117.375
tensor(-0.4050, device='cuda:0') 115.875 117.4375
tensor(-0.4121, device='cuda:0') 115.875 117.4375
tensor(-0.4150, device='cuda:0') 115.8125 117.4375
tensor(-0.4179, device='cuda:0') 115.8125 117.4375
tensor(-0.4225, device='cuda:0') 115.75 117.375
tensor(-0.4275, device='cuda:0') 115.75 117.375
tensor(-0.4216, device='cuda:0') 115.75 117.375
tensor(-0.4178, device='cuda:0') 115.6875 117.375
tensor(-0.4243, device='cuda:0') 115.6875 117.375
tensor(-0.4268, device='cuda:0') 115.625 117.375
tensor(-0.4201, device='cuda:0') 115.625 117.375
tensor(-0.4179, device='cuda:0') 115.625 117.375
tensor(-0.4170, device='cuda:0') 115.5625 117.375
tensor(-0.4104, device='cuda:0') 115.5625 117.375
tensor(-0.3991, device='cuda:0') 115.5 117.375
tensor(-0.4021, device='cuda:0') 115.5 117.375
tensor(-0.3942, device='cuda:0') 115.5 117.375
tensor(-0.3977, device='cuda:0') 115.4375 117.375
tensor(-0.3857, device='cuda:0') 115.4375 117.375
tensor(-0.3911, device='cuda:0') 115.375 117.375
tensor(-0.3879, device='cuda:0') 115.375 117.375
tensor(-0.3924, device='cuda:0') 115.375 117.375
tensor(-0.3956, device='cuda:0') 115.3125 117.375
tensor(-0.4067, device='cuda:0') 115.3125 117.375
tensor(-0.4091, device='cuda:0') 115.3125 117.375
tensor(-0.4126, device='cuda:0') 115.25 117.375
tensor(-0.4208, device='cuda:0') 115.25 117.375
tensor(-0.4227, device='cuda:0') 115.1875 117.375
tensor(-0.4283, device='cuda:0') 115.1875 117.375
tensor(-0.4308, device='cuda:0') 115.1875 117.3125
tensor(-0.4316, device='cuda:0') 115.125 117.3125
tensor(-0.4408, device='cuda:0') 115.125 117.3125
tensor(-0.4385, device='cuda:0') 115.125 117.3125
tensor(-0.4359, device='cuda:0') 115.0625 117.3125
tensor(-0.4329, device='cuda:0') 115.0625 117.3125
tensor(-0.4352, device='cuda:0') 115.0625 117.3125
tensor(-0.4324, device='cuda:0') 115.0 117.3125
tensor(-0.4347, device='cuda:0') 115.0 117.25
tensor(-0.4311, device='cuda:0') 115.0 117.25
tensor(-0.4353, device='cuda:0') 114.9375 117.25
tensor(-0.4303, device='cuda:0') 114.9375 117.25
