  0%|                                                                                                                                                                                                                                                                       | 0/2 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
tensor(0.7904, device='cuda:0') 115.4375 117.3125
tensor(0.7898, device='cuda:0') 115.375 117.25
tensor(0.7886, device='cuda:0') 115.375 117.25
tensor(0.7883, device='cuda:0') 115.375 117.25
tensor(0.7877, device='cuda:0') 115.375 117.1875
tensor(0.7869, device='cuda:0') 115.375 117.1875
tensor(0.7862, device='cuda:0') 115.375 117.1875
tensor(0.7854, device='cuda:0') 115.375 117.125
tensor(0.7848, device='cuda:0') 115.3125 117.125
tensor(0.7842, device='cuda:0') 115.3125 117.0625
tensor(0.7837, device='cuda:0') 115.3125 117.0625
tensor(0.7826, device='cuda:0') 115.3125 117.0625
tensor(0.7815, device='cuda:0') 115.3125 117.0625
tensor(0.7812, device='cuda:0') 115.3125 117.0
tensor(0.7810, device='cuda:0') 115.3125 117.0
tensor(0.7797, device='cuda:0') 115.3125 117.0
tensor(0.7795, device='cuda:0') 115.3125 116.9375
tensor(0.7779, device='cuda:0') 115.25 116.9375
tensor(0.7771, device='cuda:0') 115.25 116.9375
tensor(0.7764, device='cuda:0') 115.25 116.875
tensor(0.7754, device='cuda:0') 115.25 116.875
tensor(0.7745, device='cuda:0') 115.25 116.875
tensor(0.7742, device='cuda:0') 115.25 116.8125
tensor(0.7731, device='cuda:0') 115.25 116.8125
tensor(0.7720, device='cuda:0') 115.25 116.8125
tensor(0.7720, device='cuda:0') 115.25 116.75
tensor(0.7711, device='cuda:0') 115.25 116.75
tensor(0.7694, device='cuda:0') 115.1875 116.75
tensor(0.7693, device='cuda:0') 115.1875 116.6875
tensor(0.7681, device='cuda:0') 115.1875 116.6875
tensor(0.7670, device='cuda:0') 115.1875 116.6875
tensor(0.7661, device='cuda:0') 115.1875 116.625
tensor(0.7655, device='cuda:0') 115.1875 116.625
tensor(0.7645, device='cuda:0') 115.1875 116.625
tensor(0.7637, device='cuda:0') 115.1875 116.5625
tensor(0.7630, device='cuda:0') 115.1875 116.5625
tensor(0.7622, device='cuda:0') 115.1875 116.5625
tensor(0.7608, device='cuda:0') 115.1875 116.5
tensor(0.7605, device='cuda:0') 115.1875 116.5
tensor(0.7589, device='cuda:0') 115.125 116.5
tensor(0.7586, device='cuda:0') 115.125 116.4375
tensor(0.7576, device='cuda:0') 115.125 116.4375
tensor(0.7568, device='cuda:0') 115.125 116.4375
tensor(0.7559, device='cuda:0') 115.125 116.4375
tensor(0.7545, device='cuda:0') 115.125 116.375
tensor(0.7538, device='cuda:0') 115.125 116.375
tensor(0.7526, device='cuda:0') 115.125 116.375
tensor(0.7515, device='cuda:0') 115.125 116.375
tensor(0.7506, device='cuda:0') 115.125 116.3125
tensor(0.7497, device='cuda:0') 115.125 116.3125
tensor(0.7489, device='cuda:0') 115.125 116.25
tensor(0.7482, device='cuda:0') 115.125 116.25
tensor(0.7478, device='cuda:0') 115.125 116.25
tensor(0.7462, device='cuda:0') 115.125 116.25
tensor(0.7459, device='cuda:0') 115.125 116.25
tensor(0.7446, device='cuda:0') 115.125 116.1875
tensor(0.7439, device='cuda:0') 115.0625 116.1875
tensor(0.7429, device='cuda:0') 115.0625 116.1875
tensor(0.7423, device='cuda:0') 115.0625 116.125
tensor(0.7413, device='cuda:0') 115.0625 116.125
tensor(0.7403, device='cuda:0') 115.0625 116.125
tensor(0.7397, device='cuda:0') 115.0625 116.0625
tensor(0.7380, device='cuda:0') 115.0625 116.0625
tensor(0.7371, device='cuda:0') 115.0625 116.0625
tensor(0.7373, device='cuda:0') 115.0625 116.0625
tensor(0.7355, device='cuda:0') 115.0625 116.0625
tensor(0.7346, device='cuda:0') 115.0625 116.0
tensor(0.7343, device='cuda:0') 115.0625 116.0
tensor(0.7325, device='cuda:0') 115.0625 116.0
tensor(0.7319, device='cuda:0') 115.0625 116.0
tensor(0.7309, device='cuda:0') 115.0625 115.9375
tensor(0.7305, device='cuda:0') 115.0625 115.9375
tensor(0.7294, device='cuda:0') 115.0625 115.875
tensor(0.7285, device='cuda:0') 115.0625 115.875
tensor(0.7276, device='cuda:0') 115.0625 115.875
tensor(0.7270, device='cuda:0') 115.0625 115.875
tensor(0.7260, device='cuda:0') 115.0625 115.875
tensor(0.7247, device='cuda:0') 115.0625 115.8125
tensor(0.7242, device='cuda:0') 115.0625 115.8125
tensor(0.7238, device='cuda:0') 115.0625 115.8125
tensor(0.7231, device='cuda:0') 115.0625 115.8125
tensor(0.7214, device='cuda:0') 115.0625 115.8125
tensor(0.7218, device='cuda:0') 115.0625 115.75
tensor(0.7209, device='cuda:0') 115.0625 115.75
tensor(0.7194, device='cuda:0') 115.0625 115.75
tensor(0.7190, device='cuda:0') 115.0625 115.75
tensor(0.7174, device='cuda:0') 115.125 115.6875
tensor(0.7169, device='cuda:0') 115.125 115.6875
tensor(0.7158, device='cuda:0') 115.125 115.6875
tensor(0.7154, device='cuda:0') 115.125 115.6875
tensor(0.7145, device='cuda:0') 115.125 115.625
tensor(0.7127, device='cuda:0') 115.125 115.625
tensor(0.7123, device='cuda:0') 115.125 115.625
tensor(0.7106, device='cuda:0') 115.125 115.625
tensor(0.7103, device='cuda:0') 115.125 115.625
tensor(0.7095, device='cuda:0') 115.125 115.625
tensor(0.7080, device='cuda:0') 115.125 115.625
tensor(0.7076, device='cuda:0') 115.125 115.625
tensor(0.7061, device='cuda:0') 115.125 115.5625
tensor(0.7058, device='cuda:0') 115.125 115.5625
tensor(0.7032, device='cuda:0') 115.1875 115.5625
tensor(0.7023, device='cuda:0') 115.1875 115.5
tensor(0.7012, device='cuda:0') 115.1875 115.5
tensor(0.6990, device='cuda:0') 115.1875 115.5
tensor(0.6979, device='cuda:0') 115.1875 115.5
tensor(0.6970, device='cuda:0') 115.1875 115.5
tensor(0.6957, device='cuda:0') 115.1875 115.4375
tensor(0.6939, device='cuda:0') 115.1875 115.4375
tensor(0.6920, device='cuda:0') 115.1875 115.4375
tensor(0.6918, device='cuda:0') 115.25 115.4375
tensor(0.6904, device='cuda:0') 115.25 115.4375
tensor(0.6896, device='cuda:0') 115.25 115.375
tensor(0.6865, device='cuda:0') 115.25 115.4375
tensor(0.6866, device='cuda:0') 115.25 115.4375
tensor(0.6847, device='cuda:0') 115.25 115.375
tensor(0.6837, device='cuda:0') 115.25 115.375
tensor(0.6829, device='cuda:0') 115.25 115.375
tensor(0.6819, device='cuda:0') 115.3125 115.375
tensor(0.6799, device='cuda:0') 115.3125 115.375
tensor(0.6766, device='cuda:0') 115.3125 115.3125
tensor(0.6760, device='cuda:0') 115.3125 115.3125
tensor(0.6725, device='cuda:0') 115.3125 115.3125
tensor(0.6712, device='cuda:0') 115.3125 115.3125
tensor(0.6699, device='cuda:0') 115.375 115.3125
tensor(0.6682, device='cuda:0') 115.375 115.3125
tensor(0.6666, device='cuda:0') 115.375 115.3125
tensor(0.6639, device='cuda:0') 115.375 115.3125
tensor(0.6647, device='cuda:0') 115.375 115.25
tensor(0.6610, device='cuda:0') 115.4375 115.25
tensor(0.6595, device='cuda:0') 115.4375 115.25
tensor(0.6558, device='cuda:0') 115.4375 115.25
tensor(0.6560, device='cuda:0') 115.4375 115.25
tensor(0.6531, device='cuda:0') 115.4375 115.25
tensor(0.6485, device='cuda:0') 115.4375 115.25
tensor(0.6476, device='cuda:0') 115.5 115.25
tensor(0.6458, device='cuda:0') 115.5 115.25
tensor(0.6423, device='cuda:0') 115.5 115.25
tensor(0.6402, device='cuda:0') 115.5 115.1875
tensor(0.6366, device='cuda:0') 115.5625 115.1875
tensor(0.6332, device='cuda:0') 115.5625 115.1875
tensor(0.6289, device='cuda:0') 115.5625 115.1875
tensor(0.6282, device='cuda:0') 115.5625 115.1875
tensor(0.6268, device='cuda:0') 115.625 115.1875
tensor(0.6257, device='cuda:0') 115.625 115.1875
tensor(0.6232, device='cuda:0') 115.625 115.1875
tensor(0.6230, device='cuda:0') 115.625 115.1875
tensor(0.6212, device='cuda:0') 115.6875 115.1875
tensor(0.6206, device='cuda:0') 115.6875 115.125
tensor(0.6199, device='cuda:0') 115.6875 115.125
tensor(0.6204, device='cuda:0') 115.6875 115.125
tensor(0.6184, device='cuda:0') 115.75 115.125
tensor(0.6163, device='cuda:0') 115.75 115.125
tensor(0.6164, device='cuda:0') 115.75 115.125
tensor(0.6156, device='cuda:0') 115.75 115.125
tensor(0.6149, device='cuda:0') 115.8125 115.125
tensor(0.6130, device='cuda:0') 115.8125 115.125
