
  0%|                                                                                                                                                                                                                                                                                                                   | 0/1 [00:00<?, ?it/s]/home/icl2/anaconda3/lib/python3.10/site-packages/torch/cuda/memory.py:330: FutureWarning: torch.cuda.reset_max_memory_allocated now calls torch.cuda.reset_peak_memory_stats, which resets /all/ peak memory stats.
  warnings.warn(
50-1, NMSE : 0.0435791015625, lr : 0.012079116908177595
	50-2, NMSE : 0.045074462890625, lr : 0.012079116908177595
51-1, NMSE : 0.044342041015625, lr : 0.011736481776669305
	51-2, NMSE : 0.04571533203125, lr : 0.011736481776669305
52-1, NMSE : 0.0450439453125, lr : 0.011391731009600656
	52-2, NMSE : 0.046356201171875, lr : 0.011391731009600656
53-1, NMSE : 0.045654296875, lr : 0.011045284632676535
	53-2, NMSE : 0.047027587890625, lr : 0.011045284632676535
54-1, NMSE : 0.046295166015625, lr : 0.010697564737441254
	54-2, NMSE : 0.047576904296875, lr : 0.010697564737441254
55-1, NMSE : 0.046905517578125, lr : 0.010348994967025012
	55-2, NMSE : 0.048187255859375, lr : 0.010348994967025012
56-1, NMSE : 0.0474853515625, lr : 0.01
	56-2, NMSE : 0.048736572265625, lr : 0.01
57-1, NMSE : 0.048095703125, lr : 0.009651005032974993
	57-2, NMSE : 0.04931640625, lr : 0.009651005032974993
58-1, NMSE : 0.048614501953125, lr : 0.009302435262558747
	58-2, NMSE : 0.049835205078125, lr : 0.009302435262558747
59-1, NMSE : 0.049163818359375, lr : 0.008954715367323467
	59-2, NMSE : 0.050323486328125, lr : 0.008954715367323467
60-1, NMSE : 0.049713134765625, lr : 0.008608268990399346
	60-2, NMSE : 0.05084228515625, lr : 0.008608268990399346
61-1, NMSE : 0.0501708984375, lr : 0.008263518223330697
	61-2, NMSE : 0.051239013671875, lr : 0.008263518223330697
62-1, NMSE : 0.050689697265625, lr : 0.00792088309182241
	62-2, NMSE : 0.0517578125, lr : 0.00792088309182241
63-1, NMSE : 0.051177978515625, lr : 0.007580781044003322
	63-2, NMSE : 0.052154541015625, lr : 0.007580781044003322
64-1, NMSE : 0.0516357421875, lr : 0.007243626441830009
	64-2, NMSE : 0.05255126953125, lr : 0.007243626441830009
65-1, NMSE : 0.05206298828125, lr : 0.006909830056250526
	65-2, NMSE : 0.05291748046875, lr : 0.006909830056250526
66-1, NMSE : 0.052459716796875, lr : 0.006579798566743313
	66-2, NMSE : 0.053314208984375, lr : 0.006579798566743313
67-1, NMSE : 0.0528564453125, lr : 0.00625393406584088
	67-2, NMSE : 0.053680419921875, lr : 0.00625393406584088
68-1, NMSE : 0.05322265625, lr : 0.0059326335692419995
	68-2, NMSE : 0.053985595703125, lr : 0.0059326335692419995
69-1, NMSE : 0.05352783203125, lr : 0.005616288532109225
	69-2, NMSE : 0.054290771484375, lr : 0.005616288532109225
70-1, NMSE : 0.053924560546875, lr : 0.005305284372141095
	70-2, NMSE : 0.054656982421875, lr : 0.005305284372141095
71-1, NMSE : 0.05426025390625, lr : 0.005000000000000003
	71-2, NMSE : 0.05487060546875, lr : 0.005000000000000003
72-1, NMSE : 0.05450439453125, lr : 0.004700807357667952
	72-2, NMSE : 0.055145263671875, lr : 0.004700807357667952
73-1, NMSE : 0.054840087890625, lr : 0.0044080709652925334
	73-2, NMSE : 0.055419921875, lr : 0.0044080709652925334
74-1, NMSE : 0.05511474609375, lr : 0.0041221474770752695
	74-2, NMSE : 0.0556640625, lr : 0.0041221474770752695
75-1, NMSE : 0.055328369140625, lr : 0.0038433852467434173
	75-2, NMSE : 0.055877685546875, lr : 0.0038433852467434173
76-1, NMSE : 0.05560302734375, lr : 0.0035721239031346066
	76-2, NMSE : 0.056121826171875, lr : 0.0035721239031346066
77-1, NMSE : 0.0557861328125, lr : 0.0033086939364114177
	77-2, NMSE : 0.05633544921875, lr : 0.0033086939364114177
78-1, NMSE : 0.056060791015625, lr : 0.0030534162954100295
	78-2, NMSE : 0.056427001953125, lr : 0.0030534162954100295
79-1, NMSE : 0.056182861328125, lr : 0.002806601996613488
	79-2, NMSE : 0.056549072265625, lr : 0.002806601996613488
80-1, NMSE : 0.056365966796875, lr : 0.0025685517452260598
	80-2, NMSE : 0.05670166015625, lr : 0.0025685517452260598
81-1, NMSE : 0.0565185546875, lr : 0.002339555568810221
	81-2, NMSE : 0.05682373046875, lr : 0.002339555568810221
82-1, NMSE : 0.05670166015625, lr : 0.002119892463932781
	82-2, NMSE : 0.056976318359375, lr : 0.002119892463932781
83-1, NMSE : 0.05682373046875, lr : 0.0019098300562505265
	83-2, NMSE : 0.057098388671875, lr : 0.0019098300562505265
84-1, NMSE : 0.056976318359375, lr : 0.0017096242744495838
	84-2, NMSE : 0.05718994140625, lr : 0.0017096242744495838
85-1, NMSE : 0.057098388671875, lr : 0.0015195190384357405
	85-2, NMSE : 0.057281494140625, lr : 0.0015195190384357405
86-1, NMSE : 0.05718994140625, lr : 0.001339745962155613
	86-2, NMSE : 0.057342529296875, lr : 0.001339745962155613
87-1, NMSE : 0.057281494140625, lr : 0.0011705240714107324
	87-2, NMSE : 0.057464599609375, lr : 0.0011705240714107324
88-1, NMSE : 0.05743408203125, lr : 0.0010120595370083296
	88-2, NMSE : 0.057464599609375, lr : 0.0010120595370083296
89-1, NMSE : 0.057464599609375, lr : 0.0008645454235739925
	89-2, NMSE : 0.05755615234375, lr : 0.0008645454235739925
90-1, NMSE : 0.05755615234375, lr : 0.0007281614543321269
	90-2, NMSE : 0.0576171875, lr : 0.0007281614543321269
91-1, NMSE : 0.05755615234375, lr : 0.0006030737921409169
	91-2, NMSE : 0.0576171875, lr : 0.0006030737921409169
92-1, NMSE : 0.0576171875, lr : 0.0004894348370484647
	92-2, NMSE : 0.057647705078125, lr : 0.0004894348370484647
93-1, NMSE : 0.057647705078125, lr : 0.0003873830406168133
	93-2, NMSE : 0.057647705078125, lr : 0.0003873830406168133
94-1, NMSE : 0.057647705078125, lr : 0.00029704273724003526
	94-2, NMSE : 0.057647705078125, lr : 0.00029704273724003526
95-1, NMSE : 0.057647705078125, lr : 0.0002185239926619431
	95-2, NMSE : 0.057647705078125, lr : 0.0002185239926619431
96-1, NMSE : 0.057647705078125, lr : 0.0001519224698779198
	96-2, NMSE : 0.057647705078125, lr : 0.0001519224698779198
97-1, NMSE : 0.057647705078125, lr : 9.73193125842975e-05
	97-2, NMSE : 0.057647705078125, lr : 9.73193125842975e-05
98-1, NMSE : 0.057647705078125, lr : 5.47810463172671e-05
	98-2, NMSE : 0.057647705078125, lr : 5.47810463172671e-05
99-1, NMSE : 0.057647705078125, lr : 2.4359497401758025e-05
	99-2, NMSE : 0.057647705078125, lr : 2.4359497401758025e-05
100-1, NMSE : 0.057647705078125, lr : 6.091729809042379e-06
	100-2, NMSE : 0.057647705078125, lr : 6.091729809042379e-06
inversion time : 16.182955741882324
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:19<00:00, 19.89s/it]
