"original_imagefilepath","recon_imagefilepath","diff_imagefilepath","original_latents_visualizedfilepath","recon_latents_visualizedfilepath","diff_latents_visualizedfilepath","error_TOT","error_OTO","error_middle","output_loss","inf_time","inv_time","seed"
"media/images/99dcac486d384ed90f79.png","media/images/b92e39f12ecaa4c2307c.png","media/images/4f3659f47763d3d9da33.png","media/images/e3cb756eac67808afe5e.png","media/images/05db472008c4f867a7f0.png","media/images/f310a7f16dbe9b82abfa.png","0.0817918823321726","0.0010152852475204162","0.09287777302802169","3.628003142353009e-8","0.621856689453125","233.74656987190247","0"
"media/images/93284727cb603d75d910.png","media/images/17d9cc6521d4dcc8527e.png","media/images/9dcd92f1eb17a53f7bff.png","media/images/2b404c14b07f2c84ee04.png","media/images/0ed99dfe723d09beb6f8.png","media/images/a308a9d7c11914a4d9e0.png","0.0626800759454369","0.0002209987428452117","0.01729929467492597","3.0569262321478163e-7","0.19393706321716309","233.98167276382446","1"
"media/images/9c4446557d2c1be00639.png","media/images/50e834839bd1100200cf.png","media/images/492a12b609621c7ad723.png","media/images/4b5518f04efe9d277d3b.png","media/images/b17f3a4d255a0fef1e93.png","media/images/c4a263d6fdf6d1c37695.png","0.26042918710391305","0.00028760726695418646","0.09410309525282301","4.556164014957176e-7","0.19412660598754883","234.5555317401886","2"
"media/images/5fc7261a167ab55f165c.png","media/images/08e28c08b7763159a99f.png","media/images/0937ccff3a7a4730ac51.png","media/images/c7a8b2f4a669c385713f.png","media/images/82342c62d8c4b4823095.png","media/images/18fc531bb4a2f505a2f9.png","0.006567529086006552","0.00006868718103051821","0.003446062514624995","9.119431751969387e-7","0.19410037994384766","233.97922730445862","3"
"media/images/2c38a073b4150c229993.png","media/images/3da8e08d4fa9a7feaa99.png","media/images/6e8bbf547692409516be.png","media/images/d12d28838e24be05d869.png","media/images/55ce4857f949f1e46bb9.png","media/images/690d0a5c30e46607ba8f.png","0.28068235356727556","0.003800189861267442","0.04953757828627747","0.00011122586874989793","0.19399380683898926","233.9039647579193","4"
"media/images/f88a23bc530a15e4d632.png","media/images/8e3bc14b3204ec75ee5f.png","media/images/08c4266d0f6c89e55124.png","media/images/9fdbe90800ba8da32992.png","media/images/782bb632e9a492cd60f3.png","media/images/65097b657a8690ea3f3d.png","0.06409024204470004","0.002341060861425018","0.05623540073864697","0.000002204194970545359","0.19515132904052734","233.87974286079407","5"
"media/images/bfea7c6b3ad0a9414a4b.png","media/images/7073b59fdc208a7b4abb.png","media/images/466fad209bc1b05bfa94.png","media/images/58457bf6e68103ca12dd.png","media/images/b3b74792d52051cd9029.png","media/images/a529afdbc9f649141607.png","0.2999048319594664","0.0002802680998005106","0.04246820672198859","0.0000018233563423564192","0.1931166648864746","233.98382306098938","6"
"media/images/f96c5e91d9947385fc3c.png","media/images/819c9f5c7f61c1e2b7f2.png","media/images/f5c852b450f32ebf7059.png","media/images/2ddfb996f52509c68020.png","media/images/57fa50258035f44e7564.png","media/images/87a974469d8581365d0c.png","0.3161579261870884","0.000273401211356932","0.08928034858613731","0.0000028468739401432686","0.19193577766418457","234.00789523124695","7"
"media/images/48e4472bf2af831899e2.png","media/images/af6b89f5a901a2636e61.png","media/images/2bdf59103f7a105bd61b.png","media/images/3bc46f3456dd59ad418f.png","media/images/e3e6353aad59a0eb0242.png","media/images/68e51a97f0dc3f36f868.png","0.058320057331905595","0.00020002675098188373","0.02211943235180258","0.000007767344868625514","0.19330763816833496","234.20642518997192","8"
"media/images/103902bcd199d13eebfe.png","media/images/32e0b465b4b30cbf6598.png","media/images/0a6e5187bfc8253f06e7.png","media/images/53593b669e26a8d807e9.png","media/images/9e5878099c5a530ef425.png","media/images/739465fb6c0893d11e48.png","0.1422836002761949","0.00018901335345093023","0.03819064671604111","0.00001110819084715331","0.19332289695739746","233.90496182441711","9"
