"original_imagefilepath","recon_imagefilepath","diff_imagefilepath","original_latents_visualizedfilepath","recon_latents_visualizedfilepath","diff_latents_visualizedfilepath","error_TOT","error_OTO","error_middle","output_loss","inf_time","inv_time","seed"
"media/images/99dcac486d384ed90f79.png","media/images/1cdcbf3dd081aebaf1e2.png","media/images/f193aff4d5339ea91509.png","media/images/e3cb756eac67808afe5e.png","media/images/8486a10e9ae1fd149052.png","media/images/517fa1a313b7a7940307.png","0.000864265613792662","0.00007701330678704523","0.09287866311638115","0.000007353698947554221","0.5915663242340088","431.2353415489197","0"
"media/images/93284727cb603d75d910.png","media/images/4bb90c3b0f45bd2e39e8.png","media/images/071c10b691b808c234e2.png","media/images/2b404c14b07f2c84ee04.png","media/images/81f81fc3de300e4d8949.png","media/images/db03a408bb3338475d1f.png","0.03561817538783019","0.005298560483104703","0.01729506938468739","0.0006899507716298103","0.19478774070739746","431.33102583885193","1"
"media/images/9c4446557d2c1be00639.png","media/images/c28d85eb6ba332ae779c.png","media/images/e9e67c8cd979d5185b29.png","media/images/4b5518f04efe9d277d3b.png","media/images/8c786e347a3c2811c530.png","media/images/fd74d5fadccc145a4220.png","0.09032241080427639","0.0002582167466246603","0.09410196161992701","0.00005207247886573896","0.1943819522857666","431.3314573764801","2"
"media/images/5fc7261a167ab55f165c.png","media/images/61b96f09b68fa5b1369c.png","media/images/de50a5b7cd81230b7c28.png","media/images/c7a8b2f4a669c385713f.png","media/images/2e2ea44fd1fb3f64712f.png","media/images/a1b40aa29b7965915eaf.png","0.017834839175902895","0.005427702051576036","0.003450782068981084","0.0016338119748979807","0.19358420372009277","431.48392128944397","3"
"media/images/2c38a073b4150c229993.png","media/images/ab0093886531470e6256.png","media/images/67187462ed00bdd00e03.png","media/images/d12d28838e24be05d869.png","media/images/ec624e131f4c136caf0c.png","media/images/f34e2c510790671725b8.png","0.2695557943380642","0.0032812921792049967","0.04963069786889296","0.0005692787235602736","0.19473695755004883","431.3700432777405","4"
"media/images/f88a23bc530a15e4d632.png","media/images/0121dce43b786ec8f94b.png","media/images/09fa0a2b123074306ebd.png","media/images/9fdbe90800ba8da32992.png","media/images/cabfc96cfc389cf10dcc.png","media/images/e0422e8dbbc25185602a.png","0.022817962133292236","0.0007920289599572564","0.05625405295322938","0.0000573521938349586","0.195204496383667","431.55437183380127","5"
"media/images/bfea7c6b3ad0a9414a4b.png","media/images/19cfb4886169d4bdb9ff.png","media/images/40d0d16cf241bf7644e3.png","media/images/58457bf6e68103ca12dd.png","media/images/6bc5d57e1cda5a4385b6.png","media/images/7454a65d034c3060fb60.png","0.2086908668876939","0.0010758443629479897","0.04247393703522917","0.0002763970987871289","0.19414877891540527","431.3710525035858","6"
"media/images/f96c5e91d9947385fc3c.png","media/images/3a0e0e04d5d93fc875ba.png","media/images/89aaf29947564d037812.png","media/images/2ddfb996f52509c68020.png","media/images/6eb547011ef567c7c0ee.png","media/images/710075c67831818bce32.png","0.14328678516903892","0.00020376188156390697","0.08928291320985071","0.00005103749572299421","0.19440436363220215","431.45795249938965","7"
"media/images/48e4472bf2af831899e2.png","media/images/17c60b7e7e1f97542fa5.png","media/images/dcf17be8fc2eb1ce7e24.png","media/images/3bc46f3456dd59ad418f.png","media/images/ac97646108c31aac4306.png","media/images/43751f520685211cb6fc.png","0.04746751091549428","0.0008133694927769877","0.02211664890402454","0.00015459257701877505","0.19431090354919434","431.4097661972046","8"
"media/images/103902bcd199d13eebfe.png","media/images/bf47d6ed3254817e7dab.png","media/images/53fbdc0605eb7fb14520.png","media/images/53593b669e26a8d807e9.png","media/images/f3f703b43d8fffba7a98.png","media/images/ebd95d4c119b0c2d2eb3.png","0.12187473834551188","0.00008954446502961613","0.038206018054953717","0.000021405838197097182","0.19414591789245605","431.5702600479126","9"
