"original_imagefilepath","recon_imagefilepath","diff_imagefilepath","original_latents_visualizedfilepath","recon_latents_visualizedfilepath","diff_latents_visualizedfilepath","error_TOT","error_OTO","error_middle","output_loss","inf_time","inv_time","seed"
"media/images/99dcac486d384ed90f79.png","media/images/072f56bd2192e43c5311.png","media/images/32a88643a4ed464696fb.png","media/images/e3cb756eac67808afe5e.png","media/images/dc01e5a421b619228e8c.png","media/images/5776ba03c734f94f3a39.png","0.05200344216518804","0.0005682887168290532","0.16544572697262083","0.00007339207513723522","0.6206638813018799","219.0244824886322","0"
"media/images/93284727cb603d75d910.png","media/images/d52e4071c74f4ce87aa3.png","media/images/2de15fc866035cc3319b.png","media/images/2b404c14b07f2c84ee04.png","media/images/456c993ef78916b1ffb3.png","media/images/71f5384b37ac236acbe9.png","0.1010768780312512","0.0005323448292954196","0.13729584475699141","0.00009833792864810675","0.19431233406066895","219.32452607154846","1"
"media/images/9c4446557d2c1be00639.png","media/images/9f5bd1a5c07d289706dd.png","media/images/9dd90fc36b1ee49ae61a.png","media/images/4b5518f04efe9d277d3b.png","media/images/5ff824432bc3fda8026d.png","media/images/31131a907a1c4c930c76.png","0.24510573513261136","0.00016613996074418109","0.15840611284102213","0.000043882359022973105","0.19738197326660156","219.00308346748352","2"
"media/images/5fc7261a167ab55f165c.png","media/images/fc2c5a0e34eda877a828.png","media/images/a108585996a41637c2b0.png","media/images/c7a8b2f4a669c385713f.png","media/images/7015b22a37ff5fdd8255.png","media/images/804d3a41087ce95d14b5.png","0.022649603985147593","0.0003372613956199141","0.04227863692760625","0.00009959603630704805","0.19663524627685547","218.91203045845032","3"
"media/images/2c38a073b4150c229993.png","media/images/2eef090f058c87a1b00c.png","media/images/1b6f4190887a9cf35d74.png","media/images/d12d28838e24be05d869.png","media/images/9381a87348d1b05c9133.png","media/images/7fb8ceeb6f14f7d32909.png","0.40455594504607006","0.0015012747292603898","0.08971709583784104","0.0003942068142350763","0.19511151313781738","218.5898711681366","4"
"media/images/f88a23bc530a15e4d632.png","media/images/09062a8a909b9abc2d34.png","media/images/fbea845561a2c444bfaf.png","media/images/9fdbe90800ba8da32992.png","media/images/bc117cf38ecc712f2416.png","media/images/b3ce1f356f349f434386.png","0.07666132748028431","0.002400536963740286","0.23020513803582165","0.00018386733427178115","0.1945481300354004","219.62883472442627","5"
"media/images/bfea7c6b3ad0a9414a4b.png","media/images/edca796ba8508430b2e5.png","media/images/bb21323f4dcfb914848f.png","media/images/58457bf6e68103ca12dd.png","media/images/6bdf863b901e75196ffc.png","media/images/c6163c59975495c37c9a.png","0.27927415669536515","0.00021179496355074097","0.29831221249266093","0.00006500651215901598","0.19413304328918457","219.2872633934021","6"
"media/images/f96c5e91d9947385fc3c.png","media/images/6710a63da3c946dd1380.png","media/images/933b34be3c8b26b8d45e.png","media/images/2ddfb996f52509c68020.png","media/images/a60c37a9b74d3499bcaf.png","media/images/7e32da4c8db47dd36ce3.png","0.3817709640066056","0.0002311604049365699","0.16036730841841873","0.00009793798380997032","0.19352388381958008","219.15104413032532","7"
"media/images/48e4472bf2af831899e2.png","media/images/1f4c5785f0da405ad3ae.png","media/images/7329a45d3f0f5c79dae4.png","media/images/3bc46f3456dd59ad418f.png","media/images/91071ad8c1dc10e8e645.png","media/images/67fae886b2cc6ac360ad.png","0.15226305539435803","0.0008183831499767073","0.10548916418338194","0.00017581123393028975","0.19292855262756348","219.4894654750824","8"
"media/images/103902bcd199d13eebfe.png","media/images/1e0ca9f5e565e84bf14c.png","media/images/11c518ae825749fceaea.png","media/images/53593b669e26a8d807e9.png","media/images/921c777abf85b95a2469.png","media/images/136e0b104f88e728d383.png","0.2662038123376398","0.00043453842255208245","0.12948916221592643","0.00010664072760846466","0.19397568702697754","218.9327802658081","9"
