"original_imagefilepath","recon_imagefilepath","diff_imagefilepath","original_latents_visualizedfilepath","recon_latents_visualizedfilepath","diff_latents_visualizedfilepath","error_TOT","error_OTO","error_middle","output_loss","inf_time","inv_time","seed"
"media/images/99dcac486d384ed90f79.png","media/images/de21d1bb4657ab3ccb7a.png","media/images/d58f3be4e89f6c25f968.png","media/images/e3cb756eac67808afe5e.png","media/images/7e3e31f8ff08255d7ddd.png","media/images/e52f3e91d69250036d15.png","0.04700932352026488","0.0005393905116654029","0.09287880843733465","0.00007017840107437223","0.5962440967559814","277.72614550590515","0"
"media/images/93284727cb603d75d910.png","media/images/281ec7602f296e13c7cd.png","media/images/a6ce03a16d4e56cfacda.png","media/images/2b404c14b07f2c84ee04.png","media/images/8323148da49bebdc7d57.png","media/images/699add6c21e3a39ff9d3.png","0.04728786933782292","0.002134588788510034","0.017298471525963643","0.0004848458047490567","0.19794869422912598","278.80446338653564","1"
"media/images/9c4446557d2c1be00639.png","media/images/2f568c49d4a5c4fe61a8.png","media/images/8795812cf08e620336e9.png","media/images/4b5518f04efe9d277d3b.png","media/images/991a8e519c78b2a5f31c.png","media/images/ab519effbb2802de4ba7.png","0.20846212424490673","0.0001509493917436257","0.09410380834798193","0.0000396325922338292","0.19767451286315918","278.76165199279785","2"
"media/images/5fc7261a167ab55f165c.png","media/images/affd5e6dfa7763d16ded.png","media/images/7e8383a078eb45c12a61.png","media/images/c7a8b2f4a669c385713f.png","media/images/e2f664b8d3731cb17e38.png","media/images/394b2c633ca6ea0a323f.png","0.006704109208386877","0.00023395466940532493","0.0034448371052170496","0.00007933093002066016","0.1976795196533203","274.7356753349304","3"
"media/images/2c38a073b4150c229993.png","media/images/60bf977c762a08950aa6.png","media/images/1a6444228d484c977f83.png","media/images/d12d28838e24be05d869.png","media/images/b844e3e7f6a5f1798098.png","media/images/635163b7846157eb4fdb.png","0.27269257884428555","0.006223111939987909","0.04957878512615843","0.0016010955441743135","0.19364500045776367","273.4232084751129","4"
"media/images/f88a23bc530a15e4d632.png","media/images/3bbafac28efd067b4567.png","media/images/ead5f321bc4ce10036b5.png","media/images/9fdbe90800ba8da32992.png","media/images/ed9111841240c750ad7e.png","media/images/ea3121095cfba77465b7.png","0.049085268651882785","0.006068249186583436","0.05625176278383126","0.0003877697163261473","0.19428324699401855","273.63314938545227","5"
"media/images/bfea7c6b3ad0a9414a4b.png","media/images/3eef68894e90a0a381cb.png","media/images/45501a2a9d5df20e9f7c.png","media/images/58457bf6e68103ca12dd.png","media/images/42715d387b1ca053dc5e.png","media/images/8ac3f150ebed6aefa102.png","0.26034153096043156","0.0003187160497661653","0.04250210901803886","0.00008580466965213418","0.1930065155029297","273.54596614837646","6"
"media/images/f96c5e91d9947385fc3c.png","media/images/6c513afd2ceecd9b1bec.png","media/images/2b5dca3e576da2e39102.png","media/images/2ddfb996f52509c68020.png","media/images/8edc142e486d0a8961b9.png","media/images/a8530883ad60062b7bde.png","0.2669215164869456","0.0001521483971932066","0.08927659076653072","0.00006465947808464989","0.19381952285766602","273.30597591400146","7"
"media/images/48e4472bf2af831899e2.png","media/images/c97b93ff8a968b61caf3.png","media/images/633c83b7f7c920fe65ef.png","media/images/3bc46f3456dd59ad418f.png","media/images/dc8decbab66e74981261.png","media/images/10cbbb106b78150f8c25.png","0.05867239778810074","0.0010189319224934111","0.022117406800000516","0.00017350786947645247","0.19324159622192383","273.52804827690125","8"
"media/images/103902bcd199d13eebfe.png","media/images/67e63c502a4b7d4e15bb.png","media/images/e79dc18613a30f613910.png","media/images/53593b669e26a8d807e9.png","media/images/831ed0bc05ffbf409337.png","media/images/e3d656056f1d76bc616f.png","0.1380775026962091","0.00014388773669175468","0.03818712904233501","0.00003552363705239259","0.19309186935424805","273.48757219314575","9"
