
  0%|                                                                                                                                                                                                                                                                                             | 0/1 [00:00<?, ?it/s]
0, 0.09775816649198532
1, 0.09775816649198532
2, 0.0926152691245079
3, 0.08272575587034225
4, 0.06901432573795319
5, 0.05310666188597679
6, 0.03751777112483978
7, 0.026797762140631676
8, 0.0201499592512846
9, 0.016250789165496826
10, 0.01391926221549511
11, 0.012371296994388103
12, 0.011173496954143047
13, 0.010127097368240356
14, 0.009165490046143532
15, 0.008280562236905098
16, 0.007480088621377945
17, 0.006769539788365364
18, 0.006148816552013159
19, 0.005614202003926039
20, 0.005163148045539856
21, 0.004792702384293079
22, 0.004497612826526165
23, 0.004268500488251448
24, 0.004090806469321251
25, 0.003947277553379536
26, 0.0038195911329239607
27, 0.0036922637373209
28, 0.003555390052497387
29, 0.003404599381610751
30, 0.0032402367796748877
31, 0.0030663562938570976
32, 0.00288900313898921
33, 0.0027153014671057463
34, 0.002550071571022272
35, 0.0023970487527549267
36, 0.0022582546807825565
37, 0.0021342220716178417
38, 0.002024331595748663
39, 0.0019269734621047974
40, 0.0018405014416202903
41, 0.0017633180832490325
42, 0.0016935421153903008
43, 0.0016296975081786513
44, 0.0015705712139606476
45, 0.0015150917461141944
46, 0.001462568761780858
47, 0.001412599696777761
48, 0.0013650445034727454
49, 0.0013198396191000938
50, 0.0012770722387358546
51, 0.0012366503942757845
52, 0.0011987327598035336
53, 0.0011633832473307848
54, 0.001130575081333518
55, 0.0011001371312886477
56, 0.001071888953447342
57, 0.0010456128511577845
58, 0.0010210925247520208
59, 0.0009981731418520212
60, 0.0009767081355676055
61, 0.0009566618828102946
62, 0.0009377918904647231
63, 0.0009201879147440195
64, 0.0009036826668307185
65, 0.0008883252739906311
66, 0.0008739658514969051
67, 0.0008606418268755078
68, 0.0008481803233735263
69, 0.0008366350084543228
70, 0.0008259438909590244
71, 0.0008160648867487907
72, 0.0008069043979048729
73, 0.0007984641706570983
74, 0.000790685648098588
75, 0.0007835625438019633
76, 0.0007770512602292001
77, 0.0007710800273343921
78, 0.0007656186353415251
79, 0.0007606594590470195
80, 0.0007561827078461647
81, 0.0007521546212956309
82, 0.0007484994712285697
83, 0.0007452344289049506
84, 0.0007423458155244589
85, 0.000739800394512713
86, 0.0007375328568741679
87, 0.000735599547624588
88, 0.0007339224102906883
89, 0.0007324818870984018
90, 0.000731270236428827
91, 0.0007302748854272068
92, 0.0007294758688658476
93, 0.0007288228953257203
94, 0.0007283363374881446
95, 0.0007279714336618781
96, 0.0007277241675183177
97, 0.0007275684620253742
98, 0.0007274853996932507
99, 0.000727439415641129
0 2.5382728576660156 0.05 8.790193557739258
1 2.3841428756713867 0.05 7.755082607269287
2 2.1843135356903076 0.05 6.509562015533447
3 1.8552865982055664 0.05 4.696170330047607
4 1.4324212074279785 0.05 2.7993898391723633
5 1.029911994934082 0.05 1.4471783638000488
6 0.7638477683067322 0.05 0.7960410714149475
7 0.5792476534843445 0.05 0.45777326822280884
8 0.4755079448223114 0.05 0.30848732590675354
9 0.4076022505760193 0.05 0.226670503616333

100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:34<00:00, 34.48s/it]
